Supplier Sku,,You can just copy and past a list from current feeding file - duplication is allowed -.
OS-10PS-GM-F,,
OS-10PS-GM-K,,
OS-10PS-GM-Q,,
OS-10PS-GM-T,,
OS-12PS-GM-CK,,
OS-12PS-GM-F,,
OS-12PS-GM-K,,
OS-12PS-GM-Q,,
OS-12PS-GM-T,,
OS-14PS-GM-CK,,
OS-14PS-GM-K,,
OS-14PS-GM-Q,,
OS-5ZMF-15FA,,
OS-5ZMF-15QA,,
OS-5ZMF-15SQA,,
OS-5ZMF-15TA,,
OS-5ZMF-15TXLA,,
OS-5ZMF-3FL,,
OS-5ZMF-3KL,,
OS-5ZMF-3QL,,
OS-5ZMF-3TL,,
OS-5ZMF-C3F,,
OS-5ZMF-C3K,,
OS-5ZMF-C3Q,,
OS-5ZMF-C3T,,
OS-5ZMF-GM4F,,
OS-5ZMF-GM4K,,
OS-5ZMF-GM4Q,,
OS-5ZMF-GM4SQ,,
OS-5ZMF-GM4T,,
OS-5ZMF-GM4TXL,,
OS-5ZMF-GT4F,,
OS-5ZMF-GT4K,,
OS-5ZMF-GT4Q,,
OS-5ZMF-GT4SQ,,
OS-5ZMF-GT4T,,
OS-5ZMF-GT4TXL,,
OS-ABS-5WH-CK,,
OS-ABS-5WH-F,,
OS-ABS-5WH-K,,
OS-ABS-5WH-Q,,
OS-ABS-5WH-T,,
OS-ABS-5WH-TXL,,
OS-ABS-7WH-CK,,
OS-ABS-7WH-F,,
OS-ABS-7WH-K,,
OS-ABS-7WH-Q,,
OS-ABS-7WH-T,,
OS-ABS-7WH-TXL,,
OS-ABS-9GR-F,,
OS-ABS-9GR-K,,
OS-ABS-9GR-Q,,
OS-ABS-9GR-T,,
OS-ABS-9NV-F,,
OS-ABS-9NV-K,,
OS-ABS-9NV-Q,,
OS-ABS-9NV-T,,
OS-ADB-500Q,,
OS-ADB-500SPK,,
OS-ADB-500TXL,,
OS-AFMGT-10F,,
OS-AFMGT-10K,,
OS-AFMGT-10Q,,
OS-AFMGT-10T,,
OS-AFMGT-6F,,
OS-AFMGT-6K,,
OS-AFMGT-6Q,,
OS-AFMGT-6T,,
OS-ALEC-2F,,
OS-ALEC-2K,,
OS-ALEC-2Q,,
OS-ALEC-2SQ,,
OS-ALEC-2T,,
OS-ALEC-2TXL,,
OS-ALEC-3F,,
OS-ALEC-3K,,
OS-ALEC-3Q,,
OS-ALEC-3SQ,,
OS-ALEC-3T,,
OS-ALEC-3TXL,,
OS-ALEC-4F,,
OS-ALEC-4K,,
OS-ALEC-4Q,,
OS-ALEC-4SQ,,
OS-ALEC-4T,,
OS-ALEC-4TXL,,
OS-ASBWS-F,,
OS-ASBWS-K,,
OS-ASBWS-Q,,
OS-ASBWS-T,,
OS-BBPB-BKF,,
OS-BBPB-BKK,,
OS-BBPB-BKQ,,
OS-BBPB-BKT,,
OS-BBPB-WHF,,
OS-BBPB-WHK,,
OS-BBPB-WHQ,,
OS-BBPB-WHT,,
OS-BCMF-1.5F,,
OS-BCMF-1.5Q,,
OS-BCMF-1.5SQ,,
OS-BCMF-1.5T,,
OS-BCMF-1.5TXL,,
OS-BCMF-4F,,
OS-BCMF-4K,,
OS-BCMF-4Q,,
OS-BCMF-4SQ,,
OS-BCMF-4T,,
OS-BCMF-4TXL,,
OS-BFBS75CK,,
OS-BFBS75F,,
OS-BFBS75K,,
OS-BFBS75Q,,
OS-BFBS75T,,
OS-C-BKCK,,
OS-C-BKF,,
OS-C-BKK,,
OS-C-BKQ,,
OS-C-BKT,,
OS-C-BKTXL,,
OS-C-WHCK,,
OS-C-WHF,,
OS-C-WHK,,
OS-C-WHQ,,
OS-C-WHT,,
OS-C-WHTXL,,
OS-E-BKF,,
OS-E-BKK,,
OS-E-BKQ,,
OS-E-BKT,,
OS-E-BKTXL,,
OS-EH01-10F,,
OS-EH01-10K,,
OS-EH01-10Q,,
OS-EH01-10T,,
OS-EH02-F,,
OS-EH02-K,,
OS-EH02-Q,,
OS-EH02-T,,
OS-EH03-RF,,
OS-EH03-RK,,
OS-EH03-RQ,,
OS-EH03-RT,,
OS-ESFBF-CK,,
OS-ESFBF-F,,
OS-ESFBF-K,,
OS-ESFBF-Q,,
OS-ESFBF-T,,
OS-ESFBF-TXL,,
OS-ESFBF-WHF,,
OS-ESFBF-WHQ,,
OS-ESFBF-WHT,,
OS-ESFBF-WHTXL,,
OS-E-WHCK,,
OS-E-WHF,,
OS-E-WHK,,
OS-E-WHQ,,
OS-E-WHT,,
OS-E-WHTXL,,
OS-HMA-F,,
OS-HMA-Q,,
OS-HMA-T,,
OS-HMA-TXL,,
OS-HRB-F,,
OS-HRB-Q,,
OS-HRB-T,,
OS-HRB-TXL,,
OS-HRSD-F,,
OS-HRSD-Q,,
OS-HRSD-T,,
OS-HRSD-TXL,,
OS-4TM,,
OS-4TM-CK,,
OS-4TM-F,,
OS-4TM-K,,
OS-4TM-Q,,
OS-4TM-SRQ,,
OS-4TM-T,,
OS-4TM-TXL,,
OS-4TM-XS,,
OS-BF-7FQK,,
OS-BF-7TFQ,,
OS-CSWPB-12FC,,
OS-CSWPB-12FE,,
OS-CSWPB-12FN,,
OS-CSWPB-12KC,,
OS-CSWPB-12KE,,
OS-CSWPB-12KN,,
OS-CSWPB-12QC,,
OS-CSWPB-12QE,,
OS-CSWPB-12QN,,
OS-CSWPB-12TC,,
OS-CSWPB-12TE,,
OS-CSWPB-12TN,,
OS-FBS-7.5CK,,
OS-FBS-7.5F,,
OS-FBS-7.5K,,
OS-FBS-7.5Q,,
OS-FBS-7.5T,,
OS-MFM-12Q+BF75Q,,
OS-MFM-12Q+FB75Q,,
OS-MFM-12Q+NSB-Q-FE,,
OS-FMS-12Q+SB-14Q-F,,
OS-FMS-14CK,,
OS-FMS-14K,,
OS-FMS-14Q,,
OS-FMS-8F,,
OS-MFM-8F+BF75F,,
OS-FMS-8F+BP-E-BKF,,
OS-MFM-8F+FB75F,,
OS-MFM-8F+NSB-F-FE,,
OS-FMS-8F+SB-14F-F,,
OS-FMS-8K,,
OS-MFM-8K+BF75K,,
OS-FMS-8K+BP-E-BKK,,
OS-MFM-8K+FB75K,,
OS-MFM-8K+NSB-K-FE,,
OS-FMS-8K+SB-14K-F,,
OS-FMS-8Q,,
OS-MFM-8Q+BF75Q,,
OS-FMS-8Q+BP-E-BKQ,,
OS-MFM-8Q+FB75Q,,
OS-MFM-8Q+NSB-Q-FE,,
OS-FMS-8Q+SB-14Q-F,,
OS-FMS-8T,,
OS-MFM-8T+BF75T,,
OS-FMS-8T+BP-E-BKT,,
OS-MFM-8T+FB75T,,
