Supplier PartNo,,,"You can just copy and past a list from current feeding file - duplication is allowed; DO NOT copy the header, like 'Supplier Part#' -."
WF-WGST-T,,,
WF-WGST-T,,,
WF-WGST-BE-Q,,,
WF-WGST-BE-Q,,,
WF-WGST-BE-F,,,
WF-WGST-BE-F,,,
WA-WGST-Q,,,
WA-WGST-Q,,,
WA-WGST-F,,,
WA-WGST-F,,,
WA-UCBXB-9T,,,
WA-UCBXB-9T,,,
WA-UCBXB-9Q,,,
WA-UCBXB-9Q,,,
WA-UCBXB-9K,,,
WA-UCBXB-9K,,,
WA-UCBXB-9F,,,
WA-UCBXB-9F,,,
WA-UCBXB-12T,,,
WA-UCBXB-12T,,,
WA-UCBXB-12Q,,,
WA-UCBXB-12Q,,,
WA-UCBXB-12K,,,
WA-UCBXB-12K,,,
WA-UCBXB-12F,,,
WA-UCBXB-12F,,,
WA-UCBXA-9T,,,
WA-UCBXA-9T,,,
WA-UCBXA-9Q,,,
WA-UCBXA-9Q,,,
WA-UCBXA-9K,,,
WA-UCBXA-9K,,,
WA-UCBXA-9F,,,
WA-UCBXA-9F,,,
WA-UCBXA-12T,,,
WA-UCBXA-12T,,,
WA-UCBXA-12Q,,,
WA-UCBXA-12Q,,,
WA-UCBXA-12K,,,
WA-UCBXA-12K,,,
WA-UCBXA-12F,,,
WA-UCBXA-12F,,,
WA-SWPB-12TGN,,,
WA-SWPB-12TGN,,,
WA-SWPB-12TGE,,,
WA-SWPB-12TGE,,,
WA-SWPB-12TGC,,,
WA-SWPB-12TGC,,,
WA-SWPB-12QGN,,,
WA-SWPB-12QGN,,,
WA-SWPB-12QGE,,,
WA-SWPB-12QGE,,,
WA-SWPB-12QGC,,,
WA-SWPB-12QGC,,,
WA-SWPB-12KGN,,,
WA-SWPB-12KGN,,,
WA-SWPB-12KGE,,,
WA-SWPB-12KGE,,,
WA-SWPB-12KGC,,,
WA-SWPB-12KGC,,,
WA-SWPB-12FGN,,,
WA-SWPB-12FGN,,,
WA-SWPB-12FGE,,,
WA-SWPB-12FGE,,,
WA-SWPB-12FGC,,,
WA-SQNS-BK,,,
WA-SQNS-BK,,,
WA-SPSC-18T,,,
WA-SPSC-18T,,,
WA-SPSC-18Q,,,
WA-SPSC-18Q,,,
WA-SPSC-18K,,,
WA-SPSC-18K,,,
WA-SPSC-18F,,,
WA-SPSC-18F,,,
WA-SPSC-14TXL,,,
WA-SPSC-14TXL,,,
WA-SPSC-14CK,,,
WA-SPSC-14CK,,,
WA-SP-80T,,,
WA-SP-80T,,,
WA-SP-80Q,,,
WA-SP-80Q,,,
WA-SP-80K,,,
WA-SP-80K,,,
WA-SP-80F,,,
WA-SP-80F,,,
WA-SP-10T,,,
WA-SP-10T,,,
WA-SP-10Q,,,
WA-SP-10Q,,,
WA-SP-10F,,,
WA-SP-10F,,,
WA-SHPB-KAT,,,
WA-SHPB-KAT,,,
WA-SHPB-KAQ,,,
WA-SHPB-KAQ,,,
WA-SHPB-KAK,,,
WA-SHPB-KAK,,,
WA-SHPB-KAF,,,
WA-SHPB-KAF,,,
WA-SHPB-HYT,,,
WA-SHPB-HYT,,,
WA-SHPB-HYQ,,,
WA-SHPB-HYQ,,,
WA-SHPB-HYK,,,
WA-SHPB-HYK,,,
WA-SHPB-HYF,,,
WA-SHPB-HYF,,,
WA-SC-10K,,,
WA-SC-10K,,,
WA-SB18-TXL,,,
WA-SB18-TXL,,,
WA-SB18-T,,,
